Recency Frequency Monetary Time Runtime
0.0 0.0 0.0 0.0 0.01989701
0.0 0.0 0.0 0.0 0.01353812
0.0 0.0 0.0 0.0 0.01346174
0.0 0.0 0.0 0.0 0.01333610
0.0 0 0 0.0 0.01332965
0 0.0 0.0 0 0.01325470
0 0.0 0.0 0 0.01317049
0 0.0 0.0 0 0.01326997
0 0.0 0.0 0 0.01323820
0 0.0 0 0 0.01322275
0 0.0 0.0 0 0.01323912
0 0.0 0.0 0 0.01334244
0 0.0 0.0 0 0.01326910
0 0.0 0.0 0 0.01332363
0 0.0 0 0 0.01330047
0 0 0.0 0 0.01319854
0 0.0 0.0 0 0.01315664
0 1.0 0.0 0 0.01319512
0 1.0 0.0 0 0.01314686
0 0.0 0 0 0.01319143
0 0.0 0.0 0 0.01317079
0 0.0 0.0 0 0.01317497
0 0.0 0.0 0 0.01320594
0 0.0 0.0 0 0.01325925
0 0 0.0 0 0.01323233
0.0 0.0 0.0 0.0 0.01336209
0.0 0.0 0.0 0.0 0.01326064
0.0 0.0 0.0 0.0 0.01335285
0.0 0.0 0.0 0.0 0.01333531
0.0 0.0 0.0 0.0 0.01330385
0 0.0 0.0 0 0.01314035
0 0.0 0.0 0 0.01322616
0 0.0 0.0 0 0.01327177
0 0.0 0.0 0 0.01315243
0 0.0 0.0 0 0.01316344
0 0 0.0 0 0.01313648
0 0.0 0.0 0 0.01317214
0 1.0 0.0 0 0.01317931
0 1.0 0.0 0 0.01318087
0 0.0 0.0 0 0.01311878
0 0.0 0.0 0 0.01322003
0 0.0 0.0 0 0.01321862
0 0.0 0.0 0 0.01315428
0 0.0 0.0 0 0.01322849
0 0 0.0 0 0.01314598
0 0.0 0.0 0 0.01312838
0 0.0 0.0 0 0.01325995
0 0.0 0.0 0 0.01319991
0 0.0 0.0 0 0.01327371
0 0.0 0.0 0 0.01326784
0.0 0.0 0.0 0.0 0.01328834
0.0 0.0 0.0 0.0 0.01325641
0.0 0.0 0.0 0.0 0.01342192
0.0 0.0 0.0 0.0 0.01328374
0.0 0.0 0.0 0.0 0.01338789
0 0 0.0 0 0.01322544
0 0.0 0.0 0 0.01320758
0 1.0 0.0 0 0.01316988
0 1.0 0.0 0 0.01327598
0 0.0 0.0 0 0.01330396
0 0.0 0 0 0.01321036
0 0.0 0.0 0 0.01319503
0 0.0 1.0 0 0.01329684
0 0.0 1.0 0 0.01312260
0 0 0.0 0 0.01316101
0 0.0 0 0 0.01326988
0 0.0 0.0 0 0.01326703
0 0.0 1.0 0 0.01317537
0 0.0 1.0 0 0.01317336
0 0.0 0.0 0 0.01315135
0 0.0 0 0 0.01319525
0 0.0 0.0 0 0.01319847
0 0.0 1.0 0 0.01327625
0 0.0 1.0 0 0.01325459
0 0.0 0.0 0 0.01321726
0.19999999999999996 0.0 0.0 0.5283018867924528 0.01337054
0.0 0.0 0.0 0.5283018867924528 0.01331513
0.0 0.0 0.0 0.0 0.01326491
0.0 0.0 0.0 0.0 0.01330363
0.0 0.0 0.0 0.0 0.01341753
0.0 0.0 0.0 0.0 0.01330137
0.0 0.0 0.0 0.0 0.01329128
0 0.0 0.0 0 0.01338090
0 0.0 0.0 0 0.01327082
0 0.0 0.0 0 0.01312981
0 0.0 0.0 0 0.01320009
0 0.0 0.0 0 0.01320897
0 0.0 0.0 0 0.01326513
0 0.0 0.0 0 0.01321321
0 0.0 0.0 0 0.01319053
0 0.0 0.0 0 0.01325250
0 0.0 0.0 0 0.01325110
0 0 0.0 0 0.01314927
0 1.0 0.0 0 0.01316681
0 1.0 0.0 0 0.01313700
0 1.0 0.0 0 0.01318221
0 0.0 0.0 0 0.01320292
0 0.0 0.0 0 0.01319015
0 0.0 0.0 0 0.01317641
0 0.0 0.0 0 0.01318521
0 0.0 0.0 0 0.01325425
0 0.0 0.0 0 0.01325267
0.0 0.0 0.0 0.0 0.01332709
0.0 0.0 0.0 0.0 0.01343354
0.0 0.0 0.0 0.0 0.01333896
0.0 0.0 0.0 0.0 0.01331615
0.0 0.0 0.0 0.0 0.01332984
0 0.0 0.0 0 0.01331710
0 0.0 0.0 0 0.01316983
0 0.0 0.0 0 0.01323649
0 0.0 0.0 0 0.01316501
0 0.0 0.0 0 0.01322899
0 0 0.0 0 0.01324398
0 1.0 0.0 0 0.01321271
0 1.0 0.0 0 0.01320207
0 1.0 0.0 0 0.01322063
0 0.0 0.0 0 0.01322775
0 0.0 0.0 0 0.01323000
0 0.0 0.0 0 0.01322065
0 0.0 0.0 0 0.01323310
0 0.0 0.0 0 0.01312623
0 0.0 0.0 0 0.01314134
0 0.0 0.0 0 0.01308082
0 0.0 0.0 0 0.01316549
0 0.0 0.0 0 0.01324087
0 0.0 0.0 0 0.01323975
0 0.0 0.0 0 0.01321479
0.0 0.0 0.0 0.0 0.01333296
0.0 0.0 0.0 0.0 0.01330432
0.0 0.0 0.0 0.0 0.01327300
0.0 0.0 0.0 0.0 0.01338973
0.0 0.0 0.0 0.0 0.01335056
0 0 0.0 0 0.01322761
0 1.0 0.0 0 0.01322958
0 1.0 0.0 0 0.01326182
0 1.0 0.0 0 0.01318430
0 0.0 0.0 0 0.01319319
0 0.0 0 0 0.01322562
0 0.0 1.0 0 0.01322969
0 0.0 1.0 0 0.01317581
0 0.0 1.0 0 0.01324514
0 0.0 0.0 0 0.01320819
0 0.0 0 0 0.01343920
0 0.0 1.0 0 0.01321355
0 0.0 1.0 0 0.01321001
0 0.0 1.0 0 0.01322700
0 0.0 0.0 0 0.01312488
0 0.0 0 0 0.01314309
0 0.0 1.0 0 0.01317824
0 0.0 1.0 0 0.01317907
0 0.0 1.0 0 0.01317777
0 0.0 0.0 0 0.01325825
0.0 0.0 0.0 0.6428571428571428 0.01332879
0.0 0.0 0.0 0.0 0.01327531
0.0 0.0 0.0 0.0 0.01332531
0.0 0.0 0.0 0.0 0.01330759
0.0 0.0 0.0 0.0 0.01332151
0.0 0.0 0.0 0.0 0.01334571
0 0.0 0.0 0 0.01324023
0 0.0 0.0 0 0.01333177
0 0.0 0.0 0 0.01336531
0 0.0 0.0 0 0.01323149
0 0.0 0.0 0 0.01328094
0 0 0.0 0 0.01327253
0 0.0 0.0 0 0.01322817
0 0.0 0.0 0 0.01316056
0 0.0 0.0 0 0.01322463
0 0.0 0.0 0 0.01329449
0 0 0.0 0 0.01327463
0 0.0 0.0 0 0.01325137
0 0.0 0.0 0 0.01327287
0 0.0 0.0 0 0.01320996
0 0.0 0.0 0 0.01321343
0 0.0 0.0 0 0.01312201
0 0.0 0.0 0 0.01321581
0 0.0 0.0 0 0.01321719
0 0.0 0.0 0 0.01325426
0 0.0 0.0 0 0.01318876
0.0 0.0 0.0 0.0 0.01334484
0.0 0.0 0.0 0.0 0.01330275
0.0 0.0 0.0 0.0 0.01330903
0.0 0.0 0.0 0.0 0.01337556
0.0 0.0 0.0 0.0 0.01331920
0 0 0.0 0 0.01322539
0 0.0 0.0 0 0.01329241
0 0.0 0.0 0 0.01333847
0 0.0 0.0 0 0.01323007
0 0.0 0.0 0 0.01324136
0 0 0.0 0 0.01314175
0 0.0 0.0 0 0.01319499
0 0.0 0.0 0 0.01323664
0 0.0 0.0 0 0.01321956
0 0.0 0.0 0 0.01322873
0 0.0 0 0 0.01328027
0 0.0 0.0 0 0.01315921
0 0.0 0.0 0 0.01326116
0 0.0 0.0 0 0.01320222
0 0.0 0.0 0 0.01321558
0 0.0 0 0 0.01315291
0 0.0 0.0 0 0.01322881
0 0.0 0.0 0 0.01318147
0 0.0 0.0 0 0.01319425
0 0.0 0.0 0 0.01328683
0.0 0 0 0.0 0.01327807
0.0 0.0 0.0 0.0 0.01326696
0.0 0.0 0.0 0.0 0.01334328
0.0 0.0 0.0 0.0 0.01319999
0.0 0.0 0.0 0.0 0.01324354
0 0 0 0 0.01309826
0 0.0 0.0 0 0.01312759
0 0.0 0.0 0 0.01321889
0 0.0 0.0 0 0.01325268
0 0.0 0.0 0 0.01326776
0 0.0 0 0 0.01320529
0 0.0 0.0 0 0.01315213
0 0.0 0.0 0 0.01322809
0 0.0 0.0 0 0.01308309
0 0.0 0.0 0 0.01322140
0 0.0 0 0 0.01322690
0 0.0 0.0 0 0.01327370
0 0.0 0.0 0 0.01318140
0 0.0 0.0 0 0.01312888
0 0.0 0.0 0 0.01314299
0 0 0 0 0.01320163
0 0.0 0.0 0 0.01318389
0 0.0 0.0 0 0.01311673
0 0.0 0.0 0 0.01321573
0 0.0 0.0 0 0.01316422
0 0 0 0.0 0.01325204
0.19999999999999996 0.0 0.0 0.0 0.01338044
0.7857142857142857 0.0 0.0 0.0 0.01330082
0.5517241379310345 0.0 0.0 0.0 0.01315844
0.0 0.0 0.0 0.0 0.01337104
0.0 0.0 0.0 0.0 0.01322084
0.0 0.0 0.0 0.0 0.01323766
0.0 0.0 0.0 0.0 0.01330650
0.0 0 0 0.0 0.01327961
0.0 0.0 0.0 0.0 0.01319230
0 0.0 0.0 0 0.01321786
0 0.0 0.0 0 0.01318162
0 0.0 0.0 0 0.01309309
0 0.0 0 0 0.01320467
0 0.0 0.0 0 0.01314223
0 0.0 0.0 0 0.01324285
0 0 0.0 0 0.01329484
0 0.0 0.0 0 0.01322458
0 0.0 0 0 0.01322464
0 0.0 0.0 0 0.01331296
0 0 0.0 0 0.01322659
0 0.0 0.0 0 0.01313211
0 0.0 0.0 0 0.01314295
0 0.0 0 0 0.01313253
0 0.0 0.0 0 0.01312805
0 0.0 0.0 0 0.01322466
0 0.0 0.0 0 0.01318183
0 0.0 0.0 0 0.01312712
0 0 0.0 0 0.01322929
0 0.0 0.0 0 0.01319326
0.0 0.0 0.0 0.0 0.01321958
0.0 0.0 0.0 0.0 0.01328801
0.0 0.0 0.0 0.0 0.01327066
0.0 0.0 0.0 0.0 0.01337064
0.0 0.0 0.0 0.0 0.01330470
0 0.0 0.0 0 0.01318861
0 0 0.0 0 0.01320850
0 0.0 0.0 0 0.01329234
0 0.0 0.0 0 0.01325780
0 0.0 0.0 0 0.01316779
0 0 0.0 0 0.01323789
0 0.0 0.0 0 0.01327131
0 0.0 0.0 0 0.01320301
0 0.0 0.0 0 0.01322979
0 0.0 0.0 0 0.01319925
0 0.0 0.0 0 0.01315825
0 0.0 0 0 0.01327263
0 0.0 0.0 0 0.01318734
0 0 0.0 0 0.01316394
0 0.0 0.0 0 0.01315948
0 0.0 0.0 0 0.01318158
0 0.0 0 0 0.01320119
0 0.0 0.0 0 0.01316393
0 0.0 0.0 0 0.01316084
0 0.0 0.0 0 0.01322187
0.0 0.0 0.0 0.0 0.01331046
0.0 0 0 0.0 0.01323250
0.0 0.0 0.0 0.0 0.01325644
0.0 0.0 0.0 0.0 0.01329363
0.0 0.0 0.0 0.0 0.01334109
0 0 0.0 0 0.01327161
0 0.0 0 0 0.01320418
0 0.0 0.0 0 0.01314739
0 0.0 0.0 0 0.01311997
0 0.0 0.0 0 0.01321697
0 0.0 0 0 0.01319248
0 0.0 0.0 0 0.01316037
0 0.0 0.0 0 0.01318716
0 0 0.0 0 0.01324266
0 0.0 0.0 0 0.01316309
0 0.0 0 0 0.01322550
0 0.0 0.0 0 0.01317018
0 0.0 0.0 0 0.01322097
0 0.0 0.0 0 0.01319493
0 0.0 0.0 0 0.01314872
0 0.0 0 0 0.01318941
0 0 0.0 0 0.01316569
0 0.0 0.0 0 0.01325498
0 0.0 0.0 0 0.01318600
0 0.0 0.0 0 0.01320534
0 0 0 0.0 0.01325802
0.19999999999999996 0.0 0.0 0.0 0.01319336
0.7857142857142857 0.0 0.0 0.0 0.01329294
0.5517241379310345 0.0 0.0 0.0 0.01326167
0.0 0.0 0.0 0.0 0.01328894
0.0 0 0 0.0 0.01326012
0.0 0.0 0.0 0.0 0.01329565
0.0 0.0 0.0 0.0 0.01326779
0.0 0.0 0.0 0.0 0.01332576
0.0 0.0 0.0 0.0 0.01339601
0 0 0 0 0.01310827
0 0 0.0 0 0.01309825
0 0.0 0.0 0 0.01313888
0 0.0 0.0 0 0.01317158
0 0.0 0.0 0 0.01322905
0 0 0 0 0.01327659
0 0 0.0 0 0.01314858
0 0.0 0.0 0 0.01323537
0 0.0 0.0 0 0.01322400
0 0.0 0.0 0 0.01317252
0 0 0 0 0.01320940
0 0 0.0 0 0.01318352
0 0 0.0 0 0.01307937
0 0.0 0.0 0 0.01318670
0 0.0 0.0 0 0.01315749
0 0 0 0 0.01314877
0 0.0 0 0 0.01316182
0 0.0 0.0 0 0.01319153
0 0.0 0.0 0 0.01310441
0 0.0 0.0 0 0.01307484
0.0 0 0 0.0 0.01320446
0.0 0 0 0.0 0.01329829
0.0 0.0 0.0 0.0 0.01338765
0.0 0.0 0.0 0.0 0.01332414
0.0 0.0 0.0 0.0 0.01325096
0 0 0 0 0.01309132
0 0 0 0 0.01321035
0 0.0 0.0 0 0.01317686
0 0.0 0.0 0 0.01319878
0 0.0 0.0 0 0.01315896
0 0 0 0 0.01316948
0 0 0 0 0.01318667
0 0 0.0 0 0.01309278
0 0.0 0.0 0 0.01317807
0 0.0 0.0 0 0.01341466
0 0 0 0 0.01323444
0 0.0 0 0 0.01314238
0 0.0 0.0 0 0.01311541
0 0.0 0.0 0 0.01316615
0 0.0 0.0 0 0.01318126
0 0 0 0 0.01319239
0 0 0 0 0.01313881
0 0.0 0.0 0 0.01314973
0 0.0 0.0 0 0.01315398
0 0.0 0.0 0 0.01324236
0.0 0 0 0.0 0.01319583
0.0 0 0 0.0 0.01322474
0.0 0.0 0.0 0.0 0.01339340
0.0 0.0 0.0 0.0 0.01337963
0.0 0.0 0.0 0.0 0.01326850
0 0 0 0 0.01324670
0 0 0 0 0.01318088
0 0 0.0 0 0.01327029
0 0.0 0.0 0 0.01313516
0 0.0 0.0 0 0.01323644
0 0 0 0 0.01326147
0 0.0 0 0 0.01318248
0 0.0 0 0 0.01324760
0 0.0 0.0 0 0.01322510
0 0.0 0.0 0 0.01318263
0 0 0 0 0.01313874
0 0 0 0 0.01319228
0 0.0 0 0 0.01314538
0 0.0 0.0 0 0.01321494
0 0.0 0.0 0 0.01330128
0 0 0 0 0.01327055
0 0 0 0 0.01323354
0 0.0 0 0 0.01321851
0 0.0 0.0 0 0.01322825
0 0.0 0.0 0 0.01326182
0 0 0 0.0 0.01320369
0.19999999999999996 0 0 0.0 0.01326424
0.7857142857142857 0 0 0.0 0.01320112
0.5517241379310345 0.0 0.0 0.0 0.01331606
0.0 0.0 0.0 0.0 0.01335119
