Recency Frequency Monetary Time Runtime
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 1.12862048
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.31358976
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.41038928
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.40995594
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.31794228
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.24689528
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.16802065
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06741648
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06736568
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.17250063
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.24703520
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.16773235
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06769430
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06739198
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.17234277
(0.3333333333333333, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.37741622
(0.5, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.5, 0.5283018867924528) 0.05473496
(0.3333333333333333, 0.19999999999999996) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06932799
(0.3333333333333333, 0.19999999999999996) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06870891
(0.3333333333333333, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.5, 0.5283018867924528) 0.06366710
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.24687068
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.11969349
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06747442
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06734680
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.12405693
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.12861376
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.07647835
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06755641
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06751731
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.08081671
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.12830537
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.07674794
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06758446
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06766599
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.08122473
(0.3333333333333333, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.07716063
(0.5, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.5, 0.5283018867924528) 0.05512778
(0.3333333333333333, 0.19999999999999996) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06974606
(0.3333333333333333, 0.19999999999999996) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06968132
(0.3333333333333333, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.5, 0.5283018867924528) 0.06383430
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.24714210
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.12014440
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06794093
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06786176
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.12466203
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.12892055
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.07710135
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06794731
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06750608
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.08110434
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.12884261
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.07680045
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06766279
(0.25, 0.19999999999999996) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06749475
(0.25, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5283018867924528) 0.08123574
(0.3333333333333333, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.07710274
(0.5, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.5, 0.5283018867924528) 0.05490720
(0.3333333333333333, 0.19999999999999996) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06936149
(0.3333333333333333, 0.19999999999999996) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06935268
(0.3333333333333333, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.5, 0.5283018867924528) 0.06382319
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.32684510
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.5, 0.5283018867924528) 0.05490281
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.06928168
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.06926784
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.5, 0.5283018867924528) 0.06397609
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.07724790
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.5, 0.5283018867924528) 0.05503782
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.06942261
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.06937827
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.5, 0.5283018867924528) 0.06365403
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.07691503
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.5, 0.5283018867924528) 0.05501092
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.06939517
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.06940654
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.5, 0.5283018867924528) 0.06360134
(1.0, 0.19999999999999996) (0.0, 0.0) (0.0, 0.0) (1.0, 0.5283018867924528) 0.05283976
(0.5, 0.19999999999999996) (0.0, 0.0) (0.0, 0.0) (1.0, 0.5283018867924528) 0.06060518
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.30368467
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.25, 0.5283018867924528) 0.07626630
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06776915
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06781866
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08412279
