Recency Frequency Monetary Time Runtime
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.84586383
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.49209029
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.40451269
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.40471222
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.31478557
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.11025155
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.26238253
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06790028
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06781357
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.17078863
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.11014276
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.26115658
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06761914
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06755584
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.17133292
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.36420727
(0.5, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.625668449197861) 0.05561297
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06945244
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06945745
(0.3333333333333333, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.625668449197861) 0.06415866
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.10984932
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.21396155
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06791856
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06794700
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.12362409
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.08884380
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.11914817
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06779597
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06765753
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.08136901
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.08867176
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.11925547
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06770370
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06777287
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.08142445
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06950924
(0.5, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.625668449197861) 0.05529790
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06960680
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06953305
(0.3333333333333333, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.625668449197861) 0.06400962
