Recency Frequency Monetary Time Runtime
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.83378954
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.6) 0.48408988
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.39850696
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.39838782
(0.25, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.6) 0.30858352
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.10849928
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.6) 0.25725280
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06757257
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06734865
(0.25, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.6) 0.16866622
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.10818145
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.6) 0.25775115
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06779489
(0.25, 0.19999999999999996) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06746995
(0.25, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.6) 0.16880388
(0.3333333333333333, 0.19999999999999996) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.35752453
(0.5, 0.19999999999999996) (0.5, 0.25) (0.0, 0.0) (0.5, 0.6) 0.05517206
