checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14182741
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14055456
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14138277
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14038159
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14019531
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14045572
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14098072
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14095964
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14045910
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14033729
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14077061
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14034728
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14005058
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14080671
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14018409
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14025218
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14119101
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14049376
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.13972396
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14057631
0 0 0 0 0 0 0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0.14062899
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00081122
