checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(1.0, 0.3939999999999999) (1.0, 0.77) (0.5, 0.42999999999999994) (1.0, 0.10299999999999998) (1.0, 0.501) (1.0, 0.29400000000000004) (1.0, 0.253) (0.5, 0.769) (0.5, 0.6900000000000001) (0.5, 0.051999999999999935) (0.5, 0.692) (0.5, 0.718) (0.5, 0.7090000000000001) (0.3333333333333333, 0.04700000000000004) (0.5, 0.17900000000000005) (0.5, 0.028000000000000025) (0.5, 0.22199999999999998) (0.5, 0.15500000000000003) (0.5, 0.404) (0.3333333333333333, 0.03700000000000003) 29.38913862
(1.0, 0.45699999999999996) (0.5, 0.359) (0.5, 0.823) (0.5, 0.766) (0.5, 0.751) (0.5, 0.29400000000000004) (0.5, 0.6609999999999999) (0.5, 0.367) (0.5, 0.45200000000000007) (0.5, 0.09299999999999997) (0.5, 0.13000000000000012) (0.5, 0.846) (0.5, 0.249) (0.5, 0.139) (0.5, 0.892) (0.5, 0.667) (0.5, 0.37) (0.5, 0.845) (0.5, 0.404) (0.5, 0.03700000000000003) 10.04431244
(1.0, 0.6679999999999999) (1.0, 0.77) (0.5, 0.08800000000000008) (1.0, 0.11199999999999988) (1.0, 0.25) (1.0, 0.29400000000000004) (0.5, 0.938) (0.5, 0.524) (1.0, 0.5480000000000002) (0.5, 0.051999999999999935) (0.5, 0.543) (0.5, 0.6679999999999999) (0.5, 0.775) (0.3333333333333333, 0.18600000000000005) (0.5, 0.28700000000000003) (0.5, 0.661) (0.5, 0.852) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 19.02627831
(0.5, 0.45699999999999996) (0.5, 0.77) (0.5, 0.2929999999999999) (0.3333333333333333, 0.853) (0.5, 0.751) (0.5, 0.29400000000000004) (0.5, 0.828) (0.5, 0.367) (0.3333333333333333, 0.6900000000000001) (0.5, 0.051999999999999935) (0.3333333333333333, 0.587) (0.5, 0.614) (0.5, 0.484) (0.5, 0.139) (0.5, 0.7130000000000001) (0.3333333333333333, 0.367) (0.5, 0.37) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.404) (0.5, 0.03700000000000003) 86.29486971
(1.0, 0.731) (1.0, 0.359) (1.0, 0.2929999999999999) (0.5, 0.31299999999999994) (1.0, 0.751) (1.0, 0.18300000000000005) (1.0, 0.17399999999999993) (1.0, 0.367) (1.0, 0.5480000000000002) (0.5, 0.051999999999999935) (0.5, 0.543) (1.0, 0.28200000000000003) (1.0, 0.765) (0.5, 0.139) (0.5, 0.892) (0.5, 0.361) (0.5, 0.02200000000000002) (0.3333333333333333, 0.15500000000000003) (0.5, 0.596) (0.3333333333333333, 0.03700000000000003) 22.46687721
(1.0, 0.3939999999999999) (1.0, 0.359) (0.5, 0.2929999999999999) (0.5, 0.903) (0.5, 0.501) (0.5, 0.3340000000000001) (0.5, 0.17399999999999993) (0.3333333333333333, 0.843) (0.3333333333333333, 0.45200000000000007) (0.5, 0.051999999999999935) (0.3333333333333333, 0.587) (0.5, 0.514) (0.3333333333333333, 0.765) (0.3333333333333333, 0.18600000000000005) (0.3333333333333333, 0.28700000000000003) (0.3333333333333333, 0.667) (0.5, 0.1479999999999999) (0.5, 0.15500000000000003) (0.3333333333333333, 0.596) (0.3333333333333333, 0.03700000000000003) 113.42887733
(1.0, 0.726) (1.0, 0.77) (1.0, 0.6180000000000001) (0.3333333333333333, 0.4610000000000001) (1.0, 0.751) (1.0, 0.18300000000000005) (1.0, 0.31499999999999984) (0.3333333333333333, 0.15700000000000003) (1.0, 0.050000000000000155) (1.0, 0.051999999999999935) (1.0, 0.43800000000000006) (1.0, 0.28200000000000003) (1.0, 0.7090000000000001) (0.5, 0.04700000000000004) (1.0, 0.821) (0.5, 0.639) (1.0, 0.16999999999999993) (1.0, 0.15500000000000003) (1.0, 0.404) (1.0, 0.03700000000000003) 14.07812134
(1.0, 0.3939999999999999) (1.0, 0.41100000000000003) (0.3333333333333333, 0.667) (0.5, 0.33099999999999996) (0.5, 0.751) (0.5, 0.397) (0.5, 0.7469999999999999) (0.5, 0.524) (0.5, 0.6400000000000001) (0.5, 0.09299999999999997) (0.5, 0.587) (0.5, 0.846) (0.5, 0.474) (0.5, 0.953) (0.5, 0.7130000000000001) (0.5, 0.006000000000000005) (0.5, 0.16999999999999993) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 26.36927319
(0.5, 0.663) (0.5, 0.359) (0.3333333333333333, 0.08800000000000008) (0.3333333333333333, 0.819) (0.5, 0.751) (0.5, 0.18300000000000005) (0.5, 0.42699999999999994) (0.5, 0.136) (0.3333333333333333, 0.6900000000000001) (0.3333333333333333, 0.959) (0.3333333333333333, 0.587) (0.5, 0.23199999999999998) (0.3333333333333333, 0.7090000000000001) (0.3333333333333333, 0.18600000000000005) (0.5, 0.7130000000000001) (0.3333333333333333, 0.667) (0.5, 0.1479999999999999) (0.5, 0.15500000000000003) (0.3333333333333333, 0.596) (0.5, 0.03700000000000003) 121.08403654
(0.5, 0.45699999999999996) (1.0, 0.359) (0.5, 0.96) (0.5, 0.903) (0.5, 0.751) (1.0, 0.29400000000000004) (0.5, 0.4889999999999999) (0.5, 0.136) (0.5, 0.09200000000000008) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.514) (0.5, 0.7090000000000001) (0.5, 0.18600000000000005) (0.3333333333333333, 0.17900000000000005) (0.5, 0.367) (0.5, 0.37) (0.5, 0.15500000000000003) (0.5, 0.596) (0.5, 0.03700000000000003) 26.44552894
(1.0, 0.731) (1.0, 0.77) (1.0, 0.2929999999999999) (1.0, 0.10299999999999998) (1.0, 0.751) (1.0, 0.29400000000000004) (1.0, 0.23599999999999988) (0.5, 0.476) (0.5, 0.09200000000000008) (0.5, 0.051999999999999935) (1.0, 0.13000000000000012) (1.0, 0.28200000000000003) (1.0, 0.22499999999999998) (0.5, 0.139) (0.5, 0.892) (0.3333333333333333, 0.367) (1.0, 0.02200000000000002) (0.5, 0.845) (0.3333333333333333, 0.596) (0.3333333333333333, 0.03700000000000003) 30.65740973
