checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
0.25 0.6666666666666667 0.3 0.09999999999999998 0.5 0.6 0.19999999999999996 0.375 0.375 0.16666666666666669 0.375 0.375 0.375 0.11111111111111112 0.16666666666666669 0.125 0.25 0.25 0.25 0.16666666666666666 29.12913024
0.5 0.16666666666666669 0.2 0.45 0.375 0.3 0.4 0.25 0.375 0.33333333333333337 0.125 0.375 0.125 0.16666666666666669 0.33333333333333337 0.375 0.375 0.25 0.25 0.25 9.94080024
0.5 0.6666666666666667 0.09999999999999998 0.19999999999999996 0.25 0.6 0.4 0.375 0.25 0.16666666666666669 0.25 0.375 0.375 0.22222222222222224 0.33333333333333337 0.25 0.375 0.25 0.25 0.25 17.69681850
0.25 0.33333333333333337 0.09999999999999998 0.26666666666666666 0.375 0.3 0.4 0.25 0.25 0.16666666666666669 0.25 0.25 0.25 0.16666666666666669 0.16666666666666669 0.25 0.375 0.16666666666666666 0.16666666666666666 0.25 85.65701720
0.75 0.33333333333333337 0.19999999999999996 0.2 0.75 0.19999999999999996 0.19999999999999996 0.5 0.25 0.16666666666666669 0.25 0.25 0.75 0.16666666666666669 0.33333333333333337 0.25 0.125 0.16666666666666666 0.25 0.16666666666666666 22.37741422
0.25 0.33333333333333337 0.09999999999999998 0.45 0.25 0.3 0.09999999999999998 0.25 0.25 0.16666666666666669 0.25 0.25 0.25 0.22222222222222224 0.22222222222222224 0.25 0.125 0.25 0.16666666666666666 0.16666666666666666 112.90992578
0.75 0.6666666666666667 0.4 0.16666666666666666 0.75 0.19999999999999996 0.4 0.08333333333333333 0.25 0.33333333333333337 0.5 0.25 0.75 0.16666666666666669 0.6666666666666667 0.25 0.5 0.5 0.5 0.5 14.03236756
0.25 0.33333333333333337 0.19999999999999998 0.09999999999999998 0.375 0.4 0.4 0.375 0.25 0.33333333333333337 0.375 0.375 0.25 0.33333333333333337 0.16666666666666669 0.125 0.25 0.25 0.25 0.25 26.28603015
0.25 0.16666666666666669 0.06666666666666665 0.3 0.375 0.09999999999999998 0.2 0.125 0.25 0.22222222222222224 0.25 0.125 0.25 0.22222222222222224 0.16666666666666669 0.25 0.125 0.25 0.16666666666666666 0.25 120.10806536
0.25 0.33333333333333337 0.4 0.45 0.375 0.6 0.3 0.125 0.125 0.16666666666666669 0.125 0.25 0.375 0.33333333333333337 0.11111111111111112 0.375 0.375 0.25 0.25 0.25 26.27455285
0.75 0.6666666666666667 0.19999999999999996 0.09999999999999998 0.75 0.6 0.4 0.125 0.125 0.16666666666666669 0.25 0.25 0.25 0.16666666666666669 0.33333333333333337 0.25 0.25 0.25 0.16666666666666666 0.16666666666666666 30.43807853
0.25 0.33333333333333337 0.4 0.4 0.375 0.2 0.3 0.375 0.25 0.11111111111111112 0.25 0.25 0.125 0.33333333333333337 0.33333333333333337 0.25 0.25 0.16666666666666666 0.25 0.16666666666666666 65.96089466
0.5 0.6666666666666667 0.19999999999999998 0.4 0.375 0.3 0.4 0.25 0.25 0.33333333333333337 0.375 0.25 0.25 0.33333333333333337 0.22222222222222224 0.125 0.375 0.25 0.25 0.25 41.41595737
0.75 0.33333333333333337 0.13333333333333333 0.3 0.375 0.4 0.2 0.375 0.25 0.16666666666666669 0.125 0.125 0.25 0.16666666666666669 0.22222222222222224 0.375 0.375 0.25 0.16666666666666666 0.25 68.35226941
0.25 0.16666666666666669 0.2 0.2 0.25 0.4 0.13333333333333333 0.125 0.16666666666666666 0.22222222222222224 0.16666666666666666 0.25 0.25 0.11111111111111112 0.33333333333333337 0.16666666666666666 0.125 0.16666666666666666 0.16666666666666666 0.25 128.23080819
0.375 0.33333333333333337 0.09999999999999998 0.25 0.25 0.8 0.3 0.25 0.375 0.16666666666666669 0.25 0.375 0.25 0.33333333333333337 0.22222222222222224 0.25 0.375 0.25 0.25 0.16666666666666666 34.08090584
0.375 0.33333333333333337 0.4 0.45 0.375 0.4 0.2 0.125 0.25 0.16666666666666669 0.125 0.25 0.375 0.33333333333333337 0.22222222222222224 0.25 0.375 0.16666666666666666 0.25 0.25 40.18142892
0.25 0.33333333333333337 0.2 0.033333333333333326 0.25 0.4 0.09999999999999998 0.25 0.25 0.16666666666666669 0.25 0.125 0.125 0.16666666666666669 0.16666666666666669 0.25 0.25 0.16666666666666666 0.16666666666666666 0.16666666666666666 94.41836828
