checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(1.0, 0.25) (1.0, 0.6666666666666667) (0.5, 0.6) (1.0, 0.09999999999999998) (1.0, 0.5) (1.0, 0.6) (1.0, 0.19999999999999996) (0.5, 0.75) (0.5, 0.75) (0.5, 0.33333333333333337) (0.5, 0.75) (0.5, 0.75) (0.5, 0.75) (0.3333333333333333, 0.33333333333333337) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 29.12991614
(1.0, 0.5) (0.5, 0.33333333333333337) (0.5, 0.4) (0.5, 0.9) (0.5, 0.75) (0.5, 0.6) (0.5, 0.8) (0.5, 0.5) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 9.92222207
(1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.19999999999999996) (1.0, 0.19999999999999996) (1.0, 0.25) (1.0, 0.6) (0.5, 0.8) (0.5, 0.75) (1.0, 0.25) (0.5, 0.33333333333333337) (0.5, 0.5) (0.5, 0.75) (0.5, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.5) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 17.70966778
(0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.19999999999999996) (0.3333333333333333, 0.8) (0.5, 0.75) (0.5, 0.6) (0.5, 0.8) (0.5, 0.5) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.75) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 85.85037431
(1.0, 0.75) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (0.5, 0.4) (1.0, 0.75) (1.0, 0.19999999999999996) (1.0, 0.19999999999999996) (1.0, 0.5) (1.0, 0.25) (0.5, 0.33333333333333337) (0.5, 0.5) (1.0, 0.25) (1.0, 0.75) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.5, 0.5) (0.5, 0.25) (0.3333333333333333, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 22.31088674
(1.0, 0.25) (1.0, 0.33333333333333337) (0.5, 0.19999999999999996) (0.5, 0.9) (0.5, 0.5) (0.5, 0.6) (0.5, 0.19999999999999996) (0.3333333333333333, 0.75) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.75) (0.5, 0.25) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 112.48187004
(1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.4) (0.3333333333333333, 0.5) (1.0, 0.75) (1.0, 0.19999999999999996) (1.0, 0.4) (0.3333333333333333, 0.25) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.5) (1.0, 0.25) (1.0, 0.75) (0.5, 0.33333333333333337) (1.0, 0.6666666666666667) (0.5, 0.5) (1.0, 0.5) (1.0, 0.5) (1.0, 0.5) (1.0, 0.5) 14.01648319
(1.0, 0.25) (1.0, 0.33333333333333337) (0.3333333333333333, 0.6) (0.5, 0.19999999999999996) (0.5, 0.75) (0.5, 0.8) (0.5, 0.8) (0.5, 0.75) (0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 26.29095655
(0.5, 0.5) (0.5, 0.33333333333333337) (0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.9) (0.5, 0.75) (0.5, 0.19999999999999996) (0.5, 0.4) (0.5, 0.25) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.75) (0.5, 0.25) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.25) (0.5, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 120.26507106
(0.5, 0.5) (1.0, 0.33333333333333337) (0.5, 0.8) (0.5, 0.9) (0.5, 0.75) (1.0, 0.6) (0.5, 0.6) (0.5, 0.25) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.5) (0.5, 0.75) (0.5, 0.6666666666666667) (0.3333333333333333, 0.33333333333333337) (0.5, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 26.23677470
(1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.19999999999999996) (1.0, 0.09999999999999998) (1.0, 0.75) (1.0, 0.6) (1.0, 0.4) (0.5, 0.25) (0.5, 0.25) (0.5, 0.33333333333333337) (1.0, 0.25) (1.0, 0.25) (1.0, 0.25) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.3333333333333333, 0.75) (1.0, 0.25) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 30.33831645
