Age Sex Job Housing Saving accounts Checking account Credit amount Duration Purpose Runtime
(0.3333333333333333, 1.0) (1.0, 0.5) (0.16666666666666666, 1.0) (0.0, 0.0) (0.5, 1.0) (1.0, 0.5) (0.5, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 34.02020983
(0.5, 0.33333333333333337) (0.0, 0.0) (0.25, 1.0) (0.5, 1.0) (1.0, 0.5) (0.5, 1.0) (1.0, 0.5) (0.5, 1.0) (0.25, 1.0) 26.08651819
(0.3333333333333333, 1.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.25, 1.0) 8.02011883
(0.25, 1.0) (0.3333333333333333, 1.0) (0.16666666666666666, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.33333333333333337) 19.68734501
(1.0, 0.5) (0.3333333333333333, 1.0) (0.25, 1.0) (0.3333333333333333, 0.5) (0.25, 1.0) (0.25, 1.0) (0.25, 1.0) (1.0, 0.5) (0.2, 1.0) 13.27599228
(0.25, 1.0) (0.0, 0.0) (0.16666666666666666, 1.0) (0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) 9.40438291
(0.3333333333333333, 1.0) (0.0, 0.0) (0.2, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) 9.68412324
(0.25, 1.0) (0.5, 1.0) (0.25, 1.0) (0.5, 1.0) (0.3333333333333333, 0.5) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.2, 1.0) 13.85731121
(0.25, 1.0) (0.3333333333333333, 0.33333333333333337) (0.16666666666666666, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) 25.86995109
(0.5, 1.0) (0.0, 0.0) (0.2, 1.0) (0.0, 0.0) (0.5, 1.0) (1.0, 0.33333333333333337) (0.5, 1.0) (0.3333333333333333, 1.0) (1.0, 0.33333333333333337) 6.75284942
(0.16666666666666666, 1.0) (0.0, 0.0) (0.16666666666666666, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.33333333333333337) (0.25, 1.0) 14.05662540
(0.25, 1.0) (0.0, 0.0) (0.25, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) 6.67012333
(0.25, 1.0) (0.3333333333333333, 1.0) (0.14285714285714285, 1.0) (0.0, 0.0) (0.2, 0.5) (0.3333333333333333, 1.0) (0.25, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) 15.56019717
(0.5, 0.5) (0.0, 0.0) (0.2, 1.0) (0.0, 0.0) (0.5, 0.25) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) 7.24877509
