Age Sex Job Housing Saving accounts Checking account Credit amount Duration Purpose Runtime
(1.0, 0.484) (1.0, 0.69) (1.0, 0.22199999999999998) (0.0, 0.0) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (0.0, 0.0) 14.17438858
(1.0, 0.249) (0.0, 0.0) (1.0, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.726) (1.0, 0.751) (1.0, 0.359) (1.0, 0.28) 24.78284054
(1.0, 0.484) (0.0, 0.0) (1.0, 0.852) (0.0, 0.0) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 5.40212960
(0.3333333333333333, 0.484) (0.3333333333333333, 0.69) (0.3333333333333333, 0.22199999999999998) (0.5, 0.7130000000000001) (0.5, 0.2310000000000001) (1.0, 0.3939999999999999) (0.5, 0.5) (0.5, 0.359) (0.3333333333333333, 0.903) 5.53972954
(1.0, 0.249) (1.0, 0.69) (1.0, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.359) (1.0, 0.28) 0.06749211
(1.0, 0.249) (0.0, 0.0) (1.0, 0.22199999999999998) (0.0, 0.0) (1.0, 0.397) (1.0, 0.726) (1.0, 0.751) (1.0, 0.77) (1.0, 0.617) 5.58304243
(0.5, 0.484) (0.0, 0.0) (0.5, 0.22199999999999998) (0.5, 0.7130000000000001) (0.5, 0.29400000000000004) (1.0, 0.45699999999999996) (0.5, 0.751) (1.0, 0.359) (0.5, 0.28) 4.49834548
(0.5, 0.249) (0.5, 0.69) (0.5, 0.02199999999999991) (0.5, 0.7130000000000001) (0.5, 0.397) (1.0, 0.3939999999999999) (0.5, 0.751) (1.0, 0.359) (0.5, 0.28) 0.91234123
(0.5, 0.249) (0.3333333333333333, 0.69) (0.3333333333333333, 0.02199999999999991) (0.5, 0.7130000000000001) (0.5, 0.29400000000000004) (1.0, 0.3939999999999999) (0.5, 0.5) (0.5, 0.359) (0.3333333333333333, 0.663) 3.98049788
(1.0, 0.484) (0.0, 0.0) (1.0, 0.22199999999999998) (0.0, 0.0) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.629) 5.40890698
(1.0, 0.249) (0.0, 0.0) (1.0, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.617) 3.20973411
(0.5, 0.249) (0.0, 0.0) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.77) (1.0, 0.28) 3.60286918
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (0.0, 0.0) (0.3333333333333333, 0.2310000000000001) (1.0, 0.726) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 2.87292412
(1.0, 0.249) (0.0, 0.0) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.77) (0.5, 0.663) 6.02407288
(1.0, 0.484) (0.0, 0.0) (1.0, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.726) (1.0, 0.5) (1.0, 0.359) (1.0, 0.28) 3.12064250
(1.0, 0.484) (0.0, 0.0) (1.0, 0.22199999999999998) (0.0, 0.0) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 5.43574251
(1.0, 0.249) (0.0, 0.0) (1.0, 0.22199999999999998) (0.0, 0.0) (1.0, 0.397) (1.0, 0.726) (1.0, 0.751) (1.0, 0.77) (1.0, 0.617) 5.52414354
(0.5, 0.484) (0.0, 0.0) (0.5, 0.02199999999999991) (0.5, 0.7130000000000001) (0.5, 0.397) (1.0, 0.3939999999999999) (0.5, 0.751) (1.0, 0.359) (0.5, 0.28) 4.63037621
(1.0, 0.484) (0.0, 0.0) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.726) (1.0, 0.751) (1.0, 0.77) (0.5, 0.28) 5.92243077
(0.5, 0.484) (0.0, 0.0) (0.5, 0.852) (0.5, 0.821) (1.0, 0.18300000000000005) (1.0, 0.3939999999999999) (1.0, 0.25) (1.0, 0.359) (0.5, 0.28) 4.11500722
(1.0, 0.249) (0.5, 0.69) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.3939999999999999) (1.0, 0.5) (1.0, 0.77) (0.5, 0.663) 2.62051587
(1.0, 0.484) (0.0, 0.0) (1.0, 0.852) (0.0, 0.0) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 5.36462068
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 2.29327256
