Age Sex Job Housing Saving accounts Checking account Credit amount Duration Purpose Runtime
(1.0, 0.5) (1.0, 0.5) (1.0, 0.5) (0.0, 0.0) (1.0, 0.8) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (0.0, 0.0) 14.54718496
(1.0, 0.25) (0.0, 0.0) (1.0, 0.5) (1.0, 0.33333333333333337) (1.0, 0.8) (1.0, 0.75) (1.0, 0.75) (1.0, 0.33333333333333337) (1.0, 0.125) 25.26903900
(1.0, 0.5) (0.0, 0.0) (1.0, 0.75) (0.0, 0.0) (1.0, 0.8) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.125) 5.49743097
(0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.33333333333333337) (0.5, 0.4) (1.0, 0.25) (0.5, 0.5) (0.5, 0.33333333333333337) (0.3333333333333333, 0.875) 5.57378415
(1.0, 0.25) (1.0, 0.5) (1.0, 0.5) (1.0, 0.33333333333333337) (1.0, 0.8) (1.0, 0.5) (1.0, 0.75) (1.0, 0.33333333333333337) (1.0, 0.125) 0.06802388
(1.0, 0.25) (0.0, 0.0) (1.0, 0.5) (0.0, 0.0) (1.0, 0.8) (1.0, 0.75) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.25) 5.57867021
(0.5, 0.5) (0.0, 0.0) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.6) (1.0, 0.5) (0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.125) 4.51682179
(0.5, 0.25) (0.5, 0.5) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.8) (1.0, 0.25) (0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.125) 0.92121908
(0.5, 0.25) (0.3333333333333333, 0.5) (0.3333333333333333, 0.25) (0.5, 0.33333333333333337) (0.5, 0.6) (1.0, 0.25) (0.5, 0.5) (0.5, 0.33333333333333337) (0.3333333333333333, 0.625) 3.99831044
(1.0, 0.5) (0.0, 0.0) (1.0, 0.5) (0.0, 0.0) (1.0, 0.8) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.375) 5.44578853
(1.0, 0.25) (0.0, 0.0) (1.0, 0.5) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.25) 3.21814200
(0.5, 0.25) (0.0, 0.0) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (1.0, 0.5) (1.0, 0.6666666666666667) (1.0, 0.125) 3.60737954
(1.0, 0.5) (1.0, 0.5) (1.0, 0.25) (0.0, 0.0) (0.3333333333333333, 0.4) (1.0, 0.75) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.125) 2.88478675
